"sex","race","age","education","state","y"
"1.Male","1.White","55+","1.NoCollege","LA",0
"1.Male","1.White","55+","3.CollegeOrMore","MT",0
"1.Male","1.White","55+","1.NoCollege","NH",0
"1.Male","1.White","55+","3.CollegeOrMore","MS",0
"1.Male","1.White","55+","3.CollegeOrMore","TX",0
"1.Male","1.White","55+","3.CollegeOrMore","NC",0
"1.Male","1.White","55+","3.CollegeOrMore","CA",0
"1.Male","1.White","55+","3.CollegeOrMore","MD",0
"1.Male","1.White","55+","2.SomeCollege","TX",0
"1.Male","1.White","55+","3.CollegeOrMore","CO",0
"1.Male","1.White","55+","1.NoCollege","FL",0
"1.Male","1.White","55+","2.SomeCollege","CO",0
"1.Male","1.White","55+","3.CollegeOrMore","IN",1
"1.Male","1.White","55+","2.SomeCollege","OR",1
"1.Male","1.White","55+","2.SomeCollege","OH",0
"1.Male","1.White","55+","1.NoCollege","MT",0
"1.Male","1.White","55+","2.SomeCollege","IN",1
"1.Male","1.White","55+","1.NoCollege","SC",0
"1.Male","1.White","55+","1.NoCollege","SC",0
"1.Male","1.White","55+","2.SomeCollege","WA",0
"1.Male","1.White","55+","2.SomeCollege","IN",1
"1.Male","1.White","55+","1.NoCollege","CT",0
"1.Male","1.White","55+","3.CollegeOrMore","NY",1
"1.Male","1.White","55+","2.SomeCollege","NJ",0
"1.Male","1.White","55+","3.CollegeOrMore","ME",0
"1.Male","1.White","55+","3.CollegeOrMore","IL",0
"1.Male","1.White","55+","2.SomeCollege","SD",0
"1.Male","1.White","55+","1.NoCollege","LA",0
"1.Male","1.White","55+","2.SomeCollege","ME",0
"1.Male","1.White","55+","1.NoCollege","NH",0
"1.Male","1.White","55+","2.SomeCollege","AZ",0
"1.Male","1.White","55+","1.NoCollege","MA",0
"1.Male","1.White","55+","3.CollegeOrMore","MI",0
"1.Male","1.White","55+","2.SomeCollege","AR",0
"1.Male","1.White","55+","3.CollegeOrMore","TX",0
"1.Male","1.White","55+","3.CollegeOrMore","AR",1
"1.Male","1.White","55+","1.NoCollege","NY",0
"1.Male","1.White","55+","2.SomeCollege","GA",0
"1.Male","1.White","55+","1.NoCollege","MA",0
"1.Male","1.White","55+","2.SomeCollege","AZ",0
"1.Male","1.White","55+","3.CollegeOrMore","KY",0
"1.Male","1.White","55+","3.CollegeOrMore","OR",0
"1.Male","1.White","55+","1.NoCollege","MI",0
"1.Male","1.White","55+","1.NoCollege","MN",0
"1.Male","1.White","55+","2.SomeCollege","NC",0
"1.Male","1.White","55+","2.SomeCollege","IA",0
"1.Male","1.White","55+","1.NoCollege","WI",1
"1.Male","1.White","55+","3.CollegeOrMore","VA",0
"1.Male","1.White","55+","3.CollegeOrMore","WI",0
"1.Male","1.White","55+","2.SomeCollege","AR",1
"1.Male","1.White","55+","3.CollegeOrMore","WA",0
"1.Male","1.White","55+","3.CollegeOrMore","MS",0
"1.Male","1.White","55+","3.CollegeOrMore","WA",1
"1.Male","1.White","55+","3.CollegeOrMore","IN",0
"1.Male","1.White","55+","1.NoCollege","MA",0
"1.Male","1.White","55+","3.CollegeOrMore","CO",1
"1.Male","1.White","55+","2.SomeCollege","OR",0
"1.Male","1.White","55+","2.SomeCollege","NJ",0
"1.Male","1.White","55+","3.CollegeOrMore","FL",0
"1.Male","1.White","55+","1.NoCollege","FL",0
"1.Male","1.White","55+","3.CollegeOrMore","WI",1
"1.Male","1.White","55+","3.CollegeOrMore","MT",0
"1.Male","1.White","55+","3.CollegeOrMore","VA",1
"1.Male","1.White","55+","1.NoCollege","VA",0
"1.Male","1.White","55+","3.CollegeOrMore","AZ",0
"1.Male","1.White","55+","2.SomeCollege","IA",1
"1.Male","1.White","55+","2.SomeCollege","OR",1
"1.Male","1.White","55+","3.CollegeOrMore","NH",1
"1.Male","1.White","55+","3.CollegeOrMore","MT",0
"1.Male","1.White","55+","3.CollegeOrMore","KS",1
"1.Male","1.White","55+","1.NoCollege","LA",0
"1.Male","1.White","55+","3.CollegeOrMore","NH",0
"1.Male","1.White","55+","2.SomeCollege","ME",1
"1.Male","1.White","55+","3.CollegeOrMore","NH",1
"1.Male","1.White","55+","3.CollegeOrMore","ME",1
"1.Male","1.White","55+","2.SomeCollege","MT",0
"1.Male","1.White","55+","2.SomeCollege","KS",1
"1.Male","1.White","55+","2.SomeCollege","ME",1
"1.Male","1.White","55+","3.CollegeOrMore","NH",0
"1.Male","1.White","55+","3.CollegeOrMore","NH",0
"1.Male","1.White","55+","3.CollegeOrMore","NH",1
"1.Male","1.White","55+","2.SomeCollege","ND",1
"1.Male","1.White","55+","3.CollegeOrMore","WA",0
"1.Male","1.White","55+","2.SomeCollege","IN",1
"1.Male","1.White","55+","2.SomeCollege","OH",0
"1.Male","1.White","55+","3.CollegeOrMore","IA",0
"1.Male","1.White","55+","2.SomeCollege","VA",0
"1.Male","1.White","55+","3.CollegeOrMore","SC",0
"1.Male","1.White","55+","1.NoCollege","MD",1
"1.Male","1.White","55+","2.SomeCollege","SC",0
"1.Male","1.White","55+","3.CollegeOrMore","AR",0
"1.Male","1.White","55+","2.SomeCollege","IL",0
"1.Male","1.White","55+","1.NoCollege","AZ",0
"1.Male","1.White","55+","2.SomeCollege","MN",0
"1.Male","1.White","55+","3.CollegeOrMore","MA",1
"1.Male","1.White","55+","2.SomeCollege","MD",0
"1.Male","1.White","55+","3.CollegeOrMore","CO",0
"1.Male","1.White","55+","1.NoCollege","MD",1
"1.Male","1.White","55+","3.CollegeOrMore","MS",0
"1.Male","1.White","55+","1.NoCollege","SC",1
"1.Male","1.White","55+","3.CollegeOrMore","NH",0
"1.Male","1.White","55+","2.SomeCollege","NJ",0
"1.Male","1.White","55+","3.CollegeOrMore","MA",0
"1.Male","1.White","55+","3.CollegeOrMore","PA",1
"1.Male","1.White","55+","1.NoCollege","IN",0
"1.Male","1.White","55+","2.SomeCollege","TX",0
"1.Male","1.White","55+","3.CollegeOrMore","NY",0
"1.Male","1.White","55+","3.CollegeOrMore","VA",0
"1.Male","1.White","55+","3.CollegeOrMore","MO",0
"1.Male","1.White","55+","2.SomeCollege","MI",0
"1.Male","1.White","55+","2.SomeCollege","NV",0
"1.Male","1.White","55+","3.CollegeOrMore","AR",0
"1.Male","1.White","55+","3.CollegeOrMore","IA",0
"1.Male","1.White","55+","2.SomeCollege","MI",1
"1.Male","1.White","55+","3.CollegeOrMore","TX",0
"1.Male","1.White","55+","3.CollegeOrMore","PA",0
"1.Male","1.White","55+","3.CollegeOrMore","GA",1
"1.Male","1.White","55+","3.CollegeOrMore","AL",0
"1.Male","1.White","55+","3.CollegeOrMore","IL",0
"1.Male","1.White","55+","2.SomeCollege","UT",0
"1.Male","1.White","55+","3.CollegeOrMore","MN",1
"1.Male","1.White","55+","2.SomeCollege","ID",0
"1.Male","1.White","55+","1.NoCollege","AL",0
"1.Male","1.White","55+","2.SomeCollege","MD",0
"1.Male","1.White","55+","3.CollegeOrMore","SC",1
"1.Male","1.White","55+","3.CollegeOrMore","GA",0
"1.Male","1.White","55+","2.SomeCollege","UT",0
"1.Male","1.White","55+","3.CollegeOrMore","GA",0
"1.Male","1.White","55+","3.CollegeOrMore","OK",0
"1.Male","1.White","55+","3.CollegeOrMore","FL",0
"1.Male","1.White","55+","1.NoCollege","FL",0
"1.Male","1.White","55+","1.NoCollege","KY",0
"1.Male","1.White","55+","2.SomeCollege","KS",0
"1.Male","1.White","55+","2.SomeCollege","IL",1
"1.Male","1.White","55+","2.SomeCollege","MN",0
"1.Male","1.White","55+","3.CollegeOrMore","VA",0
"1.Male","1.White","55+","1.NoCollege","PA",0
"1.Male","1.White","55+","3.CollegeOrMore","AZ",0
"1.Male","1.White","55+","2.SomeCollege","OR",0
"1.Male","1.White","55+","2.SomeCollege","NM",0
"1.Male","1.White","55+","1.NoCollege","KS",1
"1.Male","1.White","55+","2.SomeCollege","SC",0
"1.Male","1.White","55+","3.CollegeOrMore","OK",1
"1.Male","1.White","55+","2.SomeCollege","SC",0
"1.Male","1.White","55+","1.NoCollege","NE",0
"1.Male","1.White","55+","3.CollegeOrMore","MT",0
"1.Male","1.White","55+","2.SomeCollege","OH",0
"1.Male","1.White","55+","3.CollegeOrMore","KY",1
"1.Male","1.White","55+","3.CollegeOrMore","MI",1
"1.Male","1.White","55+","3.CollegeOrMore","MD",0
"1.Male","1.White","55+","2.SomeCollege","CA",0
"1.Male","1.White","55+","3.CollegeOrMore","SC",1
"1.Male","1.White","55+","2.SomeCollege","CA",1
"1.Male","1.White","55+","3.CollegeOrMore","IA",1
"1.Male","1.White","55+","1.NoCollege","TX",0
"1.Male","1.White","55+","2.SomeCollege","ID",0
"1.Male","1.White","55+","1.NoCollege","IA",0
"1.Male","1.White","55+","1.NoCollege","CA",0
"1.Male","1.White","55+","2.SomeCollege","CT",1
"1.Male","1.White","55+","2.SomeCollege","NV",0
"1.Male","1.White","55+","1.NoCollege","AZ",0
"1.Male","1.White","55+","2.SomeCollege","CT",0
"1.Male","1.White","55+","1.NoCollege","AR",0
"1.Male","1.White","55+","1.NoCollege","IN",0
"1.Male","1.White","55+","3.CollegeOrMore","CT",0
"1.Male","1.White","55+","3.CollegeOrMore","DE",0
"1.Male","1.White","55+","3.CollegeOrMore","NE",0
"1.Male","1.White","55+","3.CollegeOrMore","IL",0
"1.Male","1.White","55+","2.SomeCollege","MD",0
"1.Male","1.White","55+","3.CollegeOrMore","AZ",0
"1.Male","1.White","55+","1.NoCollege","TN",0
"1.Male","1.White","55+","2.SomeCollege","FL",0
"1.Male","1.White","55+","1.NoCollege","ID",0
"1.Male","1.White","55+","1.NoCollege","WV",1
"1.Male","1.White","55+","3.CollegeOrMore","NM",0
"1.Male","1.White","55+","3.CollegeOrMore","NE",0
"1.Male","1.White","55+","1.NoCollege","WV",0
"1.Male","1.White","55+","2.SomeCollege","NE",0
"1.Male","1.White","55+","2.SomeCollege","NH",0
"1.Male","1.White","55+","3.CollegeOrMore","NH",1
"1.Male","1.White","55+","3.CollegeOrMore","CA",0
"1.Male","1.White","55+","2.SomeCollege","MI",0
"1.Male","1.White","55+","2.SomeCollege","OH",0
"1.Male","1.White","55+","1.NoCollege","NC",1
"1.Male","1.White","55+","2.SomeCollege","AL",0
"1.Male","1.White","55+","2.SomeCollege","MN",1
"1.Male","1.White","55+","3.CollegeOrMore","WA",0
"1.Male","1.White","55+","3.CollegeOrMore","CO",0
"1.Male","1.White","55+","3.CollegeOrMore","OK",0
"1.Male","1.White","55+","3.CollegeOrMore","AZ",0
"1.Male","1.White","55+","3.CollegeOrMore","NH",0
"1.Male","1.White","55+","2.SomeCollege","NC",1
"1.Male","1.White","55+","3.CollegeOrMore","AZ",0
"1.Male","1.White","55+","3.CollegeOrMore","IA",0
"1.Male","1.White","55+","3.CollegeOrMore","KY",1
"1.Male","1.White","55+","3.CollegeOrMore","NH",0
"1.Male","1.White","55+","2.SomeCollege","TN",1
"1.Male","1.White","55+","2.SomeCollege","KY",0
"1.Male","1.White","55+","2.SomeCollege","IA",1
"1.Male","1.White","55+","2.SomeCollege","SC",1
"1.Male","1.White","55+","3.CollegeOrMore","CT",1
"1.Male","1.White","55+","3.CollegeOrMore","VT",0
"1.Male","1.White","55+","2.SomeCollege","GA",0
"1.Male","1.White","55+","3.CollegeOrMore","ID",1
"1.Male","1.White","55+","3.CollegeOrMore","NY",0
"1.Male","1.White","55+","2.SomeCollege","NV",0
"1.Male","1.White","55+","2.SomeCollege","SC",0
"1.Male","1.White","55+","2.SomeCollege","AR",0
"1.Male","1.White","55+","1.NoCollege","NC",0
"1.Male","1.White","55+","1.NoCollege","IL",1
"1.Male","1.White","55+","2.SomeCollege","WA",1
"1.Male","1.White","55+","2.SomeCollege","OR",1
"1.Male","1.White","55+","2.SomeCollege","IL",0
"1.Male","1.White","55+","2.SomeCollege","AZ",0
"1.Male","1.White","55+","2.SomeCollege","IN",0
"1.Male","1.White","55+","3.CollegeOrMore","AZ",1
"1.Male","1.White","55+","3.CollegeOrMore","WV",1
"1.Male","1.White","55+","3.CollegeOrMore","TN",0
"1.Male","1.White","55+","2.SomeCollege","CT",1
"1.Male","1.White","55+","2.SomeCollege","OR",0
"1.Male","1.White","55+","3.CollegeOrMore","VA",0
"1.Male","1.White","55+","3.CollegeOrMore","TX",0
"1.Male","1.White","55+","2.SomeCollege","CT",0
"1.Male","1.White","55+","3.CollegeOrMore","MD",0
"1.Male","1.White","55+","2.SomeCollege","PA",0
"1.Male","1.White","55+","3.CollegeOrMore","NM",1
"1.Male","1.White","55+","1.NoCollege","WI",1
"1.Male","1.White","55+","3.CollegeOrMore","DE",0
"1.Male","1.White","55+","1.NoCollege","WA",1
"1.Male","1.White","55+","2.SomeCollege","AL",0
"1.Male","1.White","55+","3.CollegeOrMore","OR",0
"1.Male","1.White","55+","3.CollegeOrMore","NV",1
"1.Male","1.White","55+","3.CollegeOrMore","WA",0
"1.Male","1.White","55+","2.SomeCollege","TX",0
"1.Male","1.White","55+","2.SomeCollege","MI",1
"1.Male","1.White","55+","1.NoCollege","SC",0
"1.Male","1.White","55+","3.CollegeOrMore","AZ",0
"1.Male","1.White","55+","2.SomeCollege","GA",0
"1.Male","1.White","55+","3.CollegeOrMore","MD",0
"1.Male","1.White","55+","3.CollegeOrMore","ME",1
"1.Male","1.White","55+","2.SomeCollege","NH",0
"1.Male","1.White","55+","3.CollegeOrMore","RI",1
"1.Male","1.White","55+","3.CollegeOrMore","ME",0
"1.Male","1.White","55+","3.CollegeOrMore","AR",0
"1.Male","1.White","55+","3.CollegeOrMore","NE",0
"1.Male","1.White","55+","2.SomeCollege","WV",0
"1.Male","1.White","55+","3.CollegeOrMore","HI",1
"1.Male","1.White","55+","2.SomeCollege","NM",0
"1.Male","1.White","55+","3.CollegeOrMore","GA",0
"1.Male","1.White","55+","1.NoCollege","FL",1
"1.Male","1.White","55+","2.SomeCollege","CT",0
"1.Male","1.White","55+","3.CollegeOrMore","OH",0
"1.Male","1.White","55+","1.NoCollege","FL",0
"1.Male","1.White","55+","2.SomeCollege","AZ",1
"1.Male","1.White","55+","2.SomeCollege","NJ",1
"1.Male","1.White","55+","2.SomeCollege","MS",0
"1.Male","1.White","55+","3.CollegeOrMore","OH",1
"1.Male","1.White","55+","1.NoCollege","WI",0
"1.Male","1.White","55+","3.CollegeOrMore","GA",0
"1.Male","1.White","55+","3.CollegeOrMore","MO",0
"1.Male","1.White","55+","3.CollegeOrMore","KY",0
"1.Male","1.White","55+","3.CollegeOrMore","MS",0
"1.Male","1.White","55+","2.SomeCollege","KY",0
"1.Male","1.White","55+","3.CollegeOrMore","TN",0
"1.Male","1.White","55+","3.CollegeOrMore","AR",1
"1.Male","1.White","55+","1.NoCollege","AZ",1
"1.Male","1.White","55+","3.CollegeOrMore","GA",0
"1.Male","1.White","55+","1.NoCollege","MO",0
"1.Male","1.White","55+","3.CollegeOrMore","NE",0
"1.Male","1.White","55+","1.NoCollege","OK",0
"1.Male","1.White","55+","2.SomeCollege","IN",0
"1.Male","1.White","55+","3.CollegeOrMore","LA",1
"1.Male","1.White","55+","2.SomeCollege","OR",1
"1.Male","1.White","55+","3.CollegeOrMore","CT",0
"1.Male","1.White","55+","2.SomeCollege","IA",1
"1.Male","1.White","55+","3.CollegeOrMore","UT",0
"1.Male","1.White","55+","3.CollegeOrMore","CT",0
"1.Male","1.White","55+","2.SomeCollege","IN",0
"1.Male","1.White","55+","2.SomeCollege","AL",0
"1.Male","1.White","55+","3.CollegeOrMore","SC",0
"1.Male","1.White","55+","3.CollegeOrMore","DE",0
"1.Male","1.White","55+","3.CollegeOrMore","NH",0
"1.Male","1.White","55+","3.CollegeOrMore","RI",0
"1.Male","1.White","55+","1.NoCollege","SC",0
"1.Male","1.White","55+","2.SomeCollege","CA",0
"1.Male","1.White","55+","2.SomeCollege","TX",0
"1.Male","1.White","55+","3.CollegeOrMore","VA",0
"1.Male","1.White","55+","2.SomeCollege","NV",0
"1.Male","1.White","55+","1.NoCollege","ID",0
"1.Male","1.White","55+","2.SomeCollege","NV",1
"1.Male","1.White","55+","1.NoCollege","KS",1
"1.Male","1.White","55+","3.CollegeOrMore","UT",0
"1.Male","1.White","55+","3.CollegeOrMore","LA",0
"1.Male","1.White","55+","3.CollegeOrMore","HI",0
"1.Male","1.White","55+","3.CollegeOrMore","WA",1
"1.Male","1.White","55+","2.SomeCollege","AZ",0
"1.Male","1.White","55+","2.SomeCollege","GA",0
"1.Male","1.White","55+","3.CollegeOrMore","PA",0
"1.Male","1.White","55+","3.CollegeOrMore","LA",0
"1.Male","1.White","55+","2.SomeCollege","WA",0
"1.Male","1.White","55+","2.SomeCollege","OK",1
"1.Male","1.White","55+","3.CollegeOrMore","CT",0
"1.Male","1.White","55+","1.NoCollege","KS",1
"1.Male","1.White","55+","2.SomeCollege","WY",1
"1.Male","1.White","55+","2.SomeCollege","OH",0
"1.Male","1.White","55+","2.SomeCollege","HI",0
"1.Male","1.White","55+","3.CollegeOrMore","CO",0
"1.Male","1.White","55+","3.CollegeOrMore","VT",1
"1.Male","1.White","55+","2.SomeCollege","OH",0
"1.Male","1.White","55+","2.SomeCollege","MI",0
"1.Male","1.White","55+","3.CollegeOrMore","AL",0
"1.Male","1.White","55+","3.CollegeOrMore","AR",0
"1.Male","1.White","55+","3.CollegeOrMore","MD",0
"1.Male","1.White","55+","1.NoCollege","OR",0
"1.Male","1.White","55+","3.CollegeOrMore","NV",0
"1.Male","1.White","55+","2.SomeCollege","LA",0
"1.Male","1.White","55+","3.CollegeOrMore","CT",0
"1.Male","1.White","55+","3.CollegeOrMore","MA",1
"1.Male","1.White","55+","1.NoCollege","VT",1
"1.Male","1.White","55+","3.CollegeOrMore","WV",1
"1.Male","1.White","55+","1.NoCollege","NH",0
"1.Male","1.White","55+","1.NoCollege","MT",0
"1.Male","1.White","55+","3.CollegeOrMore","MO",0
"1.Male","1.White","55+","3.CollegeOrMore","OK",0
"1.Male","1.White","55+","3.CollegeOrMore","NE",0
"1.Male","1.White","55+","3.CollegeOrMore","VT",0
"1.Male","1.White","55+","3.CollegeOrMore","SC",0
"1.Male","1.White","55+","1.NoCollege","OH",0
"1.Male","1.White","55+","3.CollegeOrMore","ME",1
"1.Male","1.White","55+","3.CollegeOrMore","GA",0
"1.Male","1.White","55+","2.SomeCollege","FL",0
"1.Male","1.White","55+","2.SomeCollege","IL",1
"1.Male","1.White","55+","3.CollegeOrMore","GA",0
"1.Male","1.White","55+","1.NoCollege","PA",0
"1.Male","1.White","55+","3.CollegeOrMore","AL",0
"1.Male","1.White","55+","1.NoCollege","NC",0
"1.Male","1.White","55+","1.NoCollege","OK",0
"1.Male","1.White","55+","3.CollegeOrMore","IA",1
"1.Male","1.White","55+","3.CollegeOrMore","AZ",0
"1.Male","1.White","55+","1.NoCollege","MD",0
"1.Male","1.White","55+","2.SomeCollege","OR",1
"1.Male","1.White","55+","2.SomeCollege","OK",1
"1.Male","1.White","55+","2.SomeCollege","AL",0
"1.Male","1.White","55+","3.CollegeOrMore","IN",0
"1.Male","1.White","55+","3.CollegeOrMore","KS",0
"1.Male","1.White","55+","2.SomeCollege","WI",0
"2.Female","1.White","25-34","3.CollegeOrMore","UT",0
"2.Female","1.White","18-24","2.SomeCollege","FL",1
"2.Female","1.White","18-24","2.SomeCollege","TN",0
"2.Female","1.White","25-34","3.CollegeOrMore","TX",0
"2.Female","1.White","25-34","3.CollegeOrMore","TX",0
"2.Female","1.White","18-24","3.CollegeOrMore","WI",0
"2.Female","1.White","25-34","3.CollegeOrMore","MI",0
"2.Female","1.White","18-24","2.SomeCollege","WA",0
"2.Female","1.White","25-34","1.NoCollege","AL",0
"2.Female","1.White","18-24","2.SomeCollege","GA",0
"2.Female","1.White","18-24","2.SomeCollege","UT",0
"2.Female","1.White","25-34","2.SomeCollege","PA",1
"2.Female","1.White","18-24","2.SomeCollege","IL",1
"2.Female","1.White","18-24","1.NoCollege","VA",1
"2.Female","1.White","18-24","2.SomeCollege","TX",0
"2.Female","1.White","25-34","3.CollegeOrMore","GA",0
"2.Female","1.White","25-34","3.CollegeOrMore","VA",0
"2.Female","1.White","18-24","1.NoCollege","ID",0
"2.Female","1.White","25-34","3.CollegeOrMore","TN",1
"2.Female","1.White","25-34","3.CollegeOrMore","LA",0
"2.Female","1.White","18-24","1.NoCollege","MD",0
"2.Female","1.White","25-34","2.SomeCollege","DE",1
"2.Female","1.White","18-24","1.NoCollege","AL",0
"2.Female","1.White","25-34","3.CollegeOrMore","KY",1
"2.Female","1.White","18-24","2.SomeCollege","MN",0
"2.Female","1.White","25-34","3.CollegeOrMore","AZ",0
"2.Female","1.White","18-24","1.NoCollege","IA",0
"2.Female","1.White","25-34","2.SomeCollege","OK",0
"2.Female","1.White","18-24","1.NoCollege","IA",1
"2.Female","1.White","25-34","3.CollegeOrMore","VA",0
"2.Female","1.White","18-24","2.SomeCollege","PA",0
"2.Female","1.White","25-34","1.NoCollege","AL",0
"2.Female","1.White","25-34","3.CollegeOrMore","UT",0
"2.Female","1.White","18-24","2.SomeCollege","NJ",1
"2.Female","1.White","18-24","2.SomeCollege","MA",1
"2.Female","1.White","25-34","3.CollegeOrMore","OK",0
"2.Female","1.White","18-24","1.NoCollege","ME",0
"2.Female","1.White","25-34","1.NoCollege","NV",0
"2.Female","1.White","18-24","2.SomeCollege","MS",0
"2.Female","1.White","18-24","2.SomeCollege","NE",1
"2.Female","1.White","25-34","3.CollegeOrMore","WY",0
"2.Female","1.White","18-24","2.SomeCollege","ME",0
"2.Female","1.White","25-34","1.NoCollege","NH",0
"2.Female","1.White","18-24","2.SomeCollege","VT",1
"2.Female","1.White","18-24","2.SomeCollege","MT",0
"2.Female","1.White","25-34","3.CollegeOrMore","HI",1
"2.Female","1.White","25-34","3.CollegeOrMore","UT",0
"2.Female","1.White","18-24","2.SomeCollege","WA",0
"2.Female","1.White","25-34","2.SomeCollege","NE",1
"2.Female","1.White","18-24","3.CollegeOrMore","OH",0
"2.Female","1.White","25-34","3.CollegeOrMore","PA",1
"2.Female","1.White","18-24","1.NoCollege","CT",1
"2.Female","1.White","18-24","2.SomeCollege","PA",1
"2.Female","1.White","18-24","2.SomeCollege","VA",0
"2.Female","1.White","25-34","3.CollegeOrMore","MS",1
"2.Female","1.White","25-34","2.SomeCollege","AZ",0
"2.Female","1.White","18-24","2.SomeCollege","PA",0
"2.Female","1.White","25-34","3.CollegeOrMore","UT",0
"2.Female","1.White","25-34","2.SomeCollege","MO",0
"2.Female","1.White","25-34","3.CollegeOrMore","KS",0
"2.Female","1.White","18-24","3.CollegeOrMore","MN",1
"2.Female","1.White","18-24","3.CollegeOrMore","NJ",0
"2.Female","1.White","18-24","1.NoCollege","MO",1
"2.Female","1.White","25-34","2.SomeCollege","MO",1
"2.Female","1.White","18-24","1.NoCollege","UT",0
"2.Female","1.White","25-34","2.SomeCollege","GA",0
"2.Female","1.White","25-34","3.CollegeOrMore","NJ",0
"2.Female","1.White","18-24","2.SomeCollege","WA",0
"2.Female","1.White","25-34","3.CollegeOrMore","MN",0
"2.Female","1.White","25-34","3.CollegeOrMore","CO",0
"2.Female","1.White","18-24","1.NoCollege","MN",1
"2.Female","1.White","18-24","3.CollegeOrMore","CO",1
"2.Female","1.White","18-24","3.CollegeOrMore","VA",1
"2.Female","1.White","18-24","1.NoCollege","TX",0
"2.Female","1.White","25-34","2.SomeCollege","IN",1
"2.Female","1.White","25-34","1.NoCollege","AZ",0
"2.Female","1.White","25-34","2.SomeCollege","MN",1
"2.Female","1.White","25-34","1.NoCollege","GA",0
"2.Female","1.White","18-24","2.SomeCollege","WA",1
"2.Female","1.White","25-34","3.CollegeOrMore","OR",0
"2.Female","1.White","18-24","1.NoCollege","AR",0
"2.Female","1.White","25-34","3.CollegeOrMore","VA",0
"2.Female","1.White","18-24","1.NoCollege","AL",0
"2.Female","1.White","25-34","1.NoCollege","ME",1
"2.Female","1.White","25-34","1.NoCollege","IA",1
"2.Female","1.White","25-34","1.NoCollege","AR",0
"2.Female","1.White","18-24","1.NoCollege","KS",0
"2.Female","1.White","25-34","1.NoCollege","OK",0
"2.Female","1.White","25-34","2.SomeCollege","CA",1
"2.Female","1.White","18-24","3.CollegeOrMore","MD",0
"2.Female","1.White","25-34","2.SomeCollege","UT",0
"2.Female","1.White","18-24","2.SomeCollege","CA",0
"2.Female","1.White","18-24","3.CollegeOrMore","UT",0
"2.Female","1.White","18-24","1.NoCollege","SC",0
"2.Female","1.White","18-24","3.CollegeOrMore","RI",1
"2.Female","1.White","18-24","2.SomeCollege","ID",0
"2.Female","1.White","25-34","3.CollegeOrMore","UT",0
"2.Female","1.White","18-24","3.CollegeOrMore","NH",0
"2.Female","1.White","25-34","1.NoCollege","AK",0
"2.Female","1.White","18-24","3.CollegeOrMore","AK",0
"2.Female","1.White","18-24","1.NoCollege","AL",0
"2.Female","1.White","18-24","2.SomeCollege","MO",0
"2.Female","1.White","18-24","2.SomeCollege","CO",0
"2.Female","1.White","25-34","3.CollegeOrMore","AR",0
"2.Female","1.White","25-34","3.CollegeOrMore","CT",1
"2.Female","1.White","18-24","2.SomeCollege","LA",0
"2.Female","1.White","18-24","3.CollegeOrMore","UT",0
"2.Female","1.White","18-24","2.SomeCollege","CO",0
"2.Female","1.White","18-24","1.NoCollege","AZ",1
"2.Female","1.White","18-24","2.SomeCollege","NH",1
"2.Female","1.White","18-24","2.SomeCollege","WI",0
"2.Female","1.White","18-24","1.NoCollege","AL",0
"2.Female","1.White","25-34","3.CollegeOrMore","NV",0
"2.Female","1.White","25-34","3.CollegeOrMore","UT",0
"2.Female","1.White","25-34","3.CollegeOrMore","KS",0
"2.Female","1.White","25-34","3.CollegeOrMore","TX",0
"2.Female","1.White","18-24","2.SomeCollege","ND",0
"2.Female","1.White","25-34","2.SomeCollege","ID",1
"2.Female","1.White","18-24","2.SomeCollege","NH",1
"2.Female","1.White","18-24","2.SomeCollege","IA",0
"2.Female","1.White","25-34","2.SomeCollege","MN",1
"2.Female","1.White","25-34","3.CollegeOrMore","NY",0
"2.Female","1.White","18-24","1.NoCollege","GA",0
"2.Female","1.White","18-24","2.SomeCollege","MT",0
"2.Female","1.White","25-34","1.NoCollege","TN",0
"2.Female","1.White","25-34","3.CollegeOrMore","KY",0
"2.Female","1.White","25-34","1.NoCollege","SC",0
"2.Female","1.White","18-24","3.CollegeOrMore","CA",0
"2.Female","1.White","25-34","3.CollegeOrMore","CO",1
"2.Female","1.White","18-24","2.SomeCollege","KS",0
"2.Female","1.White","25-34","2.SomeCollege","KY",0
"2.Female","1.White","18-24","2.SomeCollege","WA",1
"2.Female","1.White","18-24","1.NoCollege","LA",0
"2.Female","1.White","25-34","2.SomeCollege","OK",0
"2.Female","1.White","18-24","3.CollegeOrMore","MN",1
"2.Female","1.White","18-24","2.SomeCollege","MA",0
"2.Female","1.White","25-34","2.SomeCollege","OK",0
"2.Female","1.White","25-34","3.CollegeOrMore","NC",0
"2.Female","1.White","18-24","3.CollegeOrMore","CO",1
"2.Female","1.White","18-24","1.NoCollege","NC",1
"2.Female","1.White","25-34","3.CollegeOrMore","CO",1
"2.Female","1.White","18-24","1.NoCollege","NC",0
"2.Female","1.White","25-34","1.NoCollege","VA",0
"2.Female","1.White","25-34","3.CollegeOrMore","MA",1
"2.Female","1.White","18-24","2.SomeCollege","OR",0
"2.Female","1.White","18-24","1.NoCollege","UT",1
"2.Female","1.White","25-34","2.SomeCollege","UT",0
"2.Female","1.White","25-34","1.NoCollege","UT",0
"2.Female","1.White","25-34","3.CollegeOrMore","UT",0
"2.Female","1.White","25-34","1.NoCollege","OR",0
"2.Female","1.White","18-24","2.SomeCollege","WV",0
"2.Female","1.White","18-24","2.SomeCollege","SC",0
"2.Female","1.White","25-34","3.CollegeOrMore","SC",0
